name,uri,artist,mood,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration
Afterlife,60FEBUWsdIp8oasrEFrp6h,XXIII,calm,0.919,0.586,0.167,0.95,0.136,-14.498,0.0433,139.927,0.241,0 days 00:02:03.486000
Blue Lounge,0sp7jCGXymKybP3oagChyW,ØDYSSEE,calm,0.481,0.8,0.307,0.837,0.11,-10.335,0.0567,80.01,0.196,0 days 00:03:18.023000
Magic Ears,01zns8ZvqSLL3gDvDiagZD,Tissi,calm,0.83,0.641,0.28,0.913,0.114,-13.989,0.102,168.064,0.143,0 days 00:02:00.007000
Midnight Somewhere,02312lZUztXbBFDXhzJbK1,Guustavv,calm,0.902,0.784,0.204,0.828,0.0941,-11.383,0.195,75.988,0.469,0 days 00:02:18.947000
Second Chance,1zRxxLqv8ZsI7RwaGdI9uV,Sless Praismo,calm,0.0385,0.569,0.406,0.876,0.092,-13.188,0.0379,168.015,0.634,0 days 00:02:31.429000
Ocean,5tP45ykhM6iRYE2cL2Dp5A,Gradient Island,calm,0.935,0.657,0.203,0.921,0.107,-15.717,0.0428,74.995,0.0626,0 days 00:01:48.800000
Jasmine,1u24Ut4Enu0OeMmeB2a4wq,C4C,calm,0.904,0.624,0.172,0.926,0.0878,-20.261,0.0512,153.974,0.336,0 days 00:02:31.169000
sea foam,2NDAE4SuAs9GJnaLnLfMm7,sound butler,calm,0.741,0.73,0.356,0.908,0.383,-10.137,0.0509,88.011,0.266,0 days 00:02:19.091000
sundown,15LqhqSSDfZmIylBdlxxVK,mt. fujitive,calm,0.958,0.653,0.167,0.931,0.0986,-19.743,0.0396,75.962,0.461,0 days 00:01:46.899000
Intimo - Spaze Windu Remix,1dRiifRAnVYqHjAEWvPNf0,B dom,calm,0.656,0.677,0.179,0.688,0.102,-15.219,0.101,80.915,0.127,0 days 00:02:46.375000
Balmy,1YFZOS75Mucj26ObIOdoNZ,Handbook,calm,0.785,0.575,0.281,0.862,0.182,-12.741,0.0452,80.018,0.368,0 days 00:02:21.266000
espresso time,5H7o4E3gjv9ywJs12d2kmM,lokeyz,calm,0.678,0.646,0.421,0.891,0.164,-10.564,0.0562,101.09,0.412,0 days 00:02:03.726000
Absence,5DE13s7fSzWzZyaII7Lur8,Jinsang,calm,0.409,0.744,0.448,0.846,0.113,-9.514,0.0763,90.712,0.499,0 days 00:01:19.915000
Kaiketsu,4sNjkwZtsYChu1gk9BnlFk,SamuW,calm,0.731,0.551,0.186,0.678,0.128,-16.455,0.0434,156.08,0.244,0 days 00:02:07.472000
Coda,12JdWwiV78PX7kk4szt9Kw,LESKY,calm,0.636,0.77,0.521,0.823,0.865,-14.079,0.076,136.021,0.302,0 days 00:02:30.253000
easy,4YNtYgPcytfX1yUqf9yXOI,Billy Hammer,calm,0.558,0.594,0.386,0.931,0.041,-12.994,0.062,79.923,0.327,0 days 00:01:21
Out In Space,43zpjvbcrFKFxqm4qpt32E,DGHTR,calm,0.91,0.78,0.395,0.949,0.107,-10.114,0.129,170.017,0.406,0 days 00:02:07.059000
Dunes o Dunes,6GdkMZ4wfNzisiJn8zotE7,reeperzehn,calm,0.825,0.473,0.608,0.758,0.279,-11.232,0.117,78.993,0.326,0 days 00:02:13.671000
No Sleep,5pJmHZ1Yirt5tzmVaYOhya,Bobby Dreamz BIG,calm,0.748,0.83,0.151,0.0794,0.138,-8.538,0.277,87.954,0.442,0 days 00:02:35.855000
Yuki,316XgMkvkl639PPBdOqghb,Nathan Kawanishi,calm,0.894,0.529,0.691,0.58,0.0875,-7.442,0.124,84.645,0.557,0 days 00:02:20.513000
Chromatic,7mFLyUxT9SHvYpYZOWulxo,Kazam,calm,0.861,0.712,0.33,0.765,0.11,-11.62,0.0587,79.988,0.244,0 days 00:02:24
Reassuring Drops,6itjWG7F9xrubgo84dJ0w7,Jes Nil,calm,0.966,0.708,0.0972,0.801,0.104,-11.707,0.142,129.901,0.648,0 days 00:01:28.442000
Calcium,4HbwPqQQR0XugXx2a5V9Mw,Bertholet,calm,0.782,0.866,0.236,0.935,0.144,-10.443,0.0662,80.031,0.552,0 days 00:02:18
Carvings,6z4JNDNIHHrLz79QET2jrA,Dusty Decks,calm,0.976,0.534,0.19,0.899,0.386,-15.723,0.0853,78.094,0.331,0 days 00:02:36.923000
Cherish,3g61MNGRhAJoFlpiE5qpew,Shrimpnose,calm,0.945,0.672,0.152,0.956,0.112,-16.697,0.0364,75.515,0.258,0 days 00:03:13.907000
Call For Spring,0TvNYHasD0uc3WNNszVmqb,Bauke Top,calm,0.345,0.644,0.526,0.389,0.0723,-9.351,0.0691,160.133,0.299,0 days 00:01:53.438000
Mixed Emotions,0igMjYaQwW5mUt7RIwXojC,SamTRax,calm,0.812,0.594,0.567,0.917,0.109,-13.506,0.0366,85.014,0.184,0 days 00:02:46.588000
Hello,4ZiuK6Y2WGVi0UajR3aIUD,Peter Kind,calm,0.117,0.778,0.348,0.366,0.396,-11.291,0.0712,83.975,0.345,0 days 00:02:04.152000
