name,uri,artist,mood,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration
pathless,2twCuhMf8cmQGMMC1Wlbde,Goldusk,calm,0.91,0.776,0.162,0.889,0.102,-10.668,0.0377,83.021,0.366,0 days 00:01:44.096000
Sxs13,73Oxy2zrZMTFgFARikF4UA,BXT Aer,calm,0.231,0.583,0.12,0.779,0.142,-11.749,0.0489,140.037,0.19,0 days 00:01:25.714000
Jazzy Winter,6MzyclGrr8mFu3tWUDilzX,Guustavv,calm,0.1,0.902,0.487,0.914,0.153,-6.914,0.0818,137.837,0.645,0 days 00:02:10.923000
It's All Subjective,4ZEu6K8xFemBWjKXxthzt6,Fallen Roses,calm,0.94,0.857,0.199,0.917,0.11,-12.926,0.258,80.001,0.15,0 days 00:01:58.061000
Bassin,4IA07rs82KIjWfWrGzw2u7,RINZ.,calm,0.545,0.865,0.181,0.773,0.0864,-13.705,0.0737,85.038,0.377,0 days 00:01:41.647000
A Jazz Club in Paris,1dsy7hkRc4JnAFqdr0khpI,Clément Matrat,calm,0.349,0.751,0.173,0.678,0.0684,-13.138,0.0402,80.02,0.354,0 days 00:01:30.492000
Almost Blue,2NpWNuTKG10ipJQcIHuoUz,Schmiddunsk,calm,0.698,0.614,0.196,0.248,0.103,-15.274,0.031,78.018,0.364,0 days 00:01:38.486000
gone,2yYbsgAPuvoFQyomzNvmB0,mr_slace,calm,0.653,0.807,0.298,0.907,0.918,-12.322,0.102,156.003,0.537,0 days 00:02:01.258000
I Love It,31F2bGsdd0rSQhXnApICfu,V.Raeter,calm,0.00224,0.749,0.813,0.21,0.0354,-3.833,0.0327,88.016,0.766,0 days 00:02:17.497000
Rolling Circle,5VcK0OsSjiNu5ej4Xyv6qd,Malia Løu,calm,0.445,0.754,0.539,0.692,0.356,-11.338,0.142,79.997,0.651,0 days 00:02:18.251000
Gardens,7A1AodROk0U7bJbS1V1caQ,YumeBeats,calm,0.02,0.657,0.666,0.00147,0.107,-10.453,0.241,90.005,0.587,0 days 00:02:30.451000
Evade,13cKNRwCPa4ykh9gjXamqe,Jobii,calm,0.684,0.61,0.445,0.166,0.208,-7.836,0.0989,81.995,0.26,0 days 00:02:04.390000
Nos Usamos,1is3m5JZequlsvuWF11f7s,Jiony,calm,0.599,0.715,0.297,0.845,0.106,-14.204,0.141,156.041,0.274,0 days 00:04:29.800000
Reading Between Lines,0iSgA62JUDF2W8OGVVmPv9,SamuW,calm,0.54,0.568,0.314,0.134,0.0899,-13.822,0.0648,79.967,0.339,0 days 00:02:30.014000
Island Time,0HOGdLkCrgZ4tKhyHyGDXJ,squeeda,calm,0.0574,0.713,0.286,0.78,0.116,-16.621,0.0489,132.015,0.241,0 days 00:03:41.818000
puget sound ferry,3LHiIJSVdlukcmebvG0zs3,nobuddy,calm,0.952,0.51,0.177,0.841,0.0991,-21.028,0.251,47.923,0.537,0 days 00:01:36.411000
Creepy Stairs,4oNXTcasIk8toQWO4ZU3Iu,Knutsson,calm,0.0547,0.557,0.153,0.975,0.1,-11.854,0.0497,85.0,0.162,0 days 00:01:52.941000
Great Falls,6BY800LJUPLUtIPktfu6Rd,Low Phil,calm,0.792,0.601,0.232,0.332,0.0878,-10.277,0.0401,85.009,0.112,0 days 00:02:17.775000
scorpion,6BVEOpoNdxzc9hr98laIaX,Joe Nora,calm,0.831,0.606,0.48,0.12,0.106,-11.283,0.0614,93.032,0.078,0 days 00:02:01.290000
Pug Life - Instrumental,7usDnd3jQUDUTVmpsaO1rc,Beatslingers,calm,0.0771,0.758,0.902,0.807,0.367,-8.243,0.056,94.976,0.68,0 days 00:03:13.316000
Lofi Audition For Marriage,1YTNyRwdSkuef5HeQg2Ff2,Single Friend,calm,0.259,0.78,0.31,0.915,0.14,-13.024,0.287,77.966,0.561,0 days 00:02:03.077000
blurred,5Yo7OigUUoLn4rWn3KqieE,Korben Palace,calm,0.476,0.712,0.836,0.691,0.292,-8.676,0.176,80.032,0.721,0 days 00:01:27.054000
Come See Me,1VHh8XW9bq2PXl9UIc0XyU,Justnormal,calm,0.813,0.628,0.228,0.368,0.109,-8.002,0.0391,79.994,0.0477,0 days 00:01:59.812000
Hashimoto,2Bx4MNPTMsuW07g2j3t9b9,Stapes,calm,0.0104,0.515,0.719,0.94,0.136,-8.074,0.0313,79.28,0.886,0 days 00:02:54.050000
In Here.,5H8QUv9JXsi9aPEFxt3NBZ,yeyts.,calm,0.304,0.7,0.449,0.668,0.0934,-8.688,0.107,178.116,0.42,0 days 00:01:53.258000
Flor De Verão,06I8PmyM1XKcwruwTshTRr,Styn,calm,0.593,0.878,0.384,0.93,0.148,-17.463,0.439,137.87,0.928,0 days 00:01:16.540000
Sex Planet,2JW1P7PCV6JxAZ1WWc45HS,Wun Two,calm,0.73,0.787,0.588,0.558,0.0889,-8.873,0.327,80.019,0.589,0 days 00:02:27
Pineapple Jam,3jC14t5vOM1YQCsPdf2ZKd,Saib,calm,0.143,0.363,0.346,0.401,0.109,-7.763,0.0499,170.967,0.327,0 days 00:03:06.353000
Jams,6g409w323C0LopwBxrLTC7,UNCOMMENN,calm,0.629,0.667,0.414,0.0328,0.11,-12.062,0.305,94.055,0.243,0 days 00:02:48
Arabian Nights,0INpmrwJrtxvkByMZXvoLl,Robin Slap,calm,0.595,0.784,0.249,0.881,0.182,-13.422,0.0864,79.97,0.151,0 days 00:01:27
Hey Chuck,1ZjyCYFu9OtCY54IQr6eqh,JAY VANILLA,calm,0.707,0.549,0.57,0.765,0.112,-8.278,0.2,83.499,0.541,0 days 00:01:57.989000
Filete.,5Rd91QBS7xafFgiIBAU2Mo,Mora,calm,0.413,0.79,0.535,0.54,0.14,-8.834,0.105,80.042,0.558,0 days 00:02:00
Nah Nah,4H26gkuBvpr2pCIB5KlRPi,Nokiaa,calm,0.125,0.83,0.235,0.097,0.0776,-17.037,0.489,124.116,0.428,0 days 00:01:48.980000
Trust,3YHEsLhBbJJ0PZIagVW29j,Baskito,calm,0.828,0.706,0.289,0.936,0.121,-15.089,0.0582,154.172,0.683,0 days 00:02:48.104000
Alleycat Jazz,6tgVK6HUOJQwUBTbG5828o,Moose Dawa,calm,0.619,0.765,0.144,0.94,0.0983,-12.642,0.142,89.001,0.162,0 days 00:01:43.375000
Calm,2NLdkXP8IzzRcfyN7NsuZZ,NICKELMAN,calm,0.746,0.722,0.466,1.21e-06,0.151,-10.81,0.435,87.999,0.33,0 days 00:02:44.278000
Peace of Mind,0saYRXEgGbjQSYgPARXk3J,Ile Flottante,calm,0.709,0.662,0.179,0.84,0.0949,-14.552,0.172,68.148,0.477,0 days 00:01:56.500000
Soul Samba,5dXLtzJjCFsO8DvoecXbez,Zmeyev,calm,0.785,0.715,0.387,0.891,0.117,-11.048,0.0808,83.986,0.65,0 days 00:02:40
Salt Lamp,42JPhBkcrAn8wfZn9xdSzO,Jobii,calm,0.351,0.648,0.54,0.759,0.0951,-7.129,0.0539,154.021,0.249,0 days 00:02:18.759000
counting stars,2I0Y9S45ytIc5SSCwZU4MH,the sharp shooter,calm,0.718,0.703,0.13,0.34,0.101,-19.086,0.0538,80.014,0.0624,0 days 00:01:36.023000
Sleep Paralysis,3XJF46WdiEgv12Em7qw9zK,Fona,calm,0.392,0.71,0.167,0.337,0.0994,-17.133,0.0828,69.003,0.413,0 days 00:01:16.635000
petals falling from the cherry tree,6SQIUSVmT3cE41g46FFlGK,AOI,calm,0.537,0.873,0.529,0.856,0.175,-8.09,0.0906,81.999,0.258,0 days 00:02:11
Cityscape,0WZ4gtS8RX39NqF1xhAXbQ,Guustavv,calm,0.187,0.922,0.508,0.386,0.0934,-7.491,0.132,140.056,0.696,0 days 00:02:24
Cetus,54xLHVo2fDy0vSJYfvWpRd,"Sarah, the Illstrumentalist",calm,0.0236,0.716,0.426,0.898,0.11,-9.911,0.0503,90.966,0.553,0 days 00:02:11.780000
Swirl,5vY0l8F9E49cMvqNnvCqNg,Noflik,calm,0.371,0.731,0.185,0.869,0.203,-13.621,0.237,91.959,0.241,0 days 00:01:39.130000
When I Meet You,3uJlTYNIYUED9ebt1o6lSb,RejSende,calm,0.467,0.574,0.434,0.705,0.105,-11.107,0.0926,150.148,0.248,0 days 00:01:43.458000
Midnight,2wHblxjaEJXc59Uqa6QDpJ,Bhxa,calm,0.858,0.637,0.186,0.885,0.0986,-16.321,0.0351,76.991,0.0925,0 days 00:01:39.756000
Boarded,3TYZ8OUPMZ0O6AiMRmv5lP,Sidual.,calm,0.885,0.531,0.128,0.854,0.0922,-9.495,0.101,140.69,0.463,0 days 00:02:20.823000
Lazy Café,7jagwJQLzpvwV8WstNJgST,leaf beach,calm,0.185,0.666,0.15,0.844,0.0831,-11.735,0.0628,87.05,0.247,0 days 00:02:25.093000
Chamomile,7dsGyuU3FLnaLBijexJhJW,Cat Paw,calm,0.482,0.666,0.242,0.0761,0.119,-11.474,0.055,100.452,0.404,0 days 00:01:16.207000
Mi Sento Bene,0V7eihVQ0iklRQohwBlOIw,Simple Lo-Fi,calm,0.968,0.595,0.326,0.951,0.0926,-14.338,0.0321,79.948,0.0933,0 days 00:01:58.875000
swept away,13dy7U1olaHEBqd009EPDl,Lunchmoney,calm,0.69,0.619,0.561,0.92,0.0887,-9.699,0.0531,80.133,0.0384,0 days 00:01:18.187000
minas gerais,0vIxkA4KHFhzFwSpcB3v1J,Pelicano,calm,0.888,0.632,0.28,0.938,0.38,-17.006,0.067,142.006,0.485,0 days 00:02:01.042000
Raindrops,5Jl1pMK3ffjw5nkbFUlseM,Pink Hoodie,calm,0.911,0.77,0.452,0.731,0.11,-5.335,0.0861,89.118,0.211,0 days 00:01:41.608000
CHELL,5dkVBIuK2PduvdFE7nWsy3,neardeathboy,calm,0.259,0.729,0.504,0.967,0.0621,-9.975,0.0423,188.013,0.926,0 days 00:01:16.596000
November,1P2KTVsZsYPPsogTGBzdpt,LeVirya,calm,0.811,0.732,0.309,0.648,0.0975,-12.837,0.0416,84.998,0.125,0 days 00:01:43.500000
Snowflakes,7HMjInXv6gIwgaA38r9nmf,Sleepermane,calm,0.734,0.505,0.379,0.411,0.142,-13.919,0.199,162.243,0.558,0 days 00:01:16.308000
Snitch,6md215hQKZ36UTfqIXnlUI,Blue Cousins,calm,0.602,0.758,0.123,0.903,0.0967,-12.365,0.238,85.041,0.105,0 days 00:01:44.471000
Whiskey Sour,2VfsGpk0cMWyzM42hqKu5r,Schmiddunsk,calm,0.00291,0.648,0.294,0.899,0.0799,-7.381,0.0502,159.865,0.271,0 days 00:01:42.195000
Eleuthera,2Ows4rDdgCOJplYdZ5KycE,Tor,calm,0.573,0.603,0.45,0.844,0.13,-11.098,0.0355,94.996,0.322,0 days 00:03:59.780000
Sinking,0W8Dk8pYxLHGnfLjaCpfEY,Lunchmoney,calm,0.841,0.477,0.318,0.926,0.12,-13.396,0.154,80.409,0.336,0 days 00:01:23.790000
As if I would,6MrlhNXeeaOaYP3di26Vaj,Lofi Fruits Music,calm,0.834,0.444,0.277,0.949,0.11,-18.382,0.204,170.085,0.366,0 days 00:02:15.590000
Stranger Thing,373SKKpg5dL84hqHU3sVUG,Tesk,calm,0.721,0.683,0.471,0.31,0.0842,-11.02,0.05,134.03,0.141,0 days 00:02:39.443000
Izuhara Land,3T2SiudsLNrENi9JHpG0FO,Mujo,calm,0.677,0.531,0.23,0.932,0.372,-10.453,0.0375,72.0,0.304,0 days 00:01:47.389000
Melodiya,1Q11ARVhgnMdhsMheqjNLk,Psalm Trees,calm,0.606,0.753,0.24,0.846,0.107,-15.118,0.0508,87.996,0.458,0 days 00:02:10.909000
Brazilian Beach Dreams,5eWuVGnyuAPAQn7HlnwimU,Lofi Coffee,calm,0.707,0.674,0.625,0.966,0.103,-12.088,0.143,130.471,0.583,0 days 00:01:43.877000
Moon Groove,0oRUtViRB6gnyq3E0JFlJM,DIRTYTHREE,calm,0.0564,0.849,0.381,0.746,0.0896,-6.981,0.0643,87.116,0.591,0 days 00:02:10.710000
By The Oak Tree,4U0qDxrvFt41T3XbXuPRbQ,Featherz,calm,0.823,0.646,0.29,0.909,0.106,-13.705,0.0385,140.016,0.252,0 days 00:02:58.286000
Plane crash in Paradise,1F5nK1fVsd1aydJDNQ86lH,popadiclo,calm,0.321,0.551,0.468,0.452,0.288,-11.611,0.41,76.247,0.375,0 days 00:02:07.618000
Walking Bee,0A3gHKIjWgyp3Bo2ag4NGl,Vee Dae,calm,0.915,0.743,0.192,0.847,0.193,-22.255,0.418,85.015,0.399,0 days 00:01:10.588000
Air Mattress,0MZufg3EiJCt9TnQVHiSCk,Sling Dilly,calm,0.758,0.605,0.332,0.45,0.127,-11.563,0.202,80.212,0.488,0 days 00:01:36.389000
Digital Wallpaper,25DpSAlvzZSdYYYAq405T9,Lightfoot,calm,0.328,0.497,0.582,0.923,0.108,-5.581,0.339,171.891,0.452,0 days 00:02:19.535000
Social Distancing,3SSE8zrdsyBBejRjGpcKhd,Slow Dreamers,calm,0.901,0.629,0.303,0.906,0.124,-14.848,0.055,160.016,0.16,0 days 00:03:01.500000
Going Home,6UH10PmCGSxxNbim2paArg,Dualizm,calm,0.843,0.746,0.314,0.927,0.0814,-11.632,0.0518,85.038,0.334,0 days 00:02:24
Your Face in the Rain,0Q6LR96DpEXNaYoqkEZ4Lf,Sleep Guru,calm,0.827,0.844,0.0152,0.97,0.103,-15.833,0.268,117.866,0.683,0 days 00:01:09.153000
Afternoon Tea,5jAvxaKjtx8Tmk3yknPIkp,Rebecca Mardal,calm,0.898,0.659,0.246,0.774,0.363,-18.875,0.0534,120.002,0.147,0 days 00:02:29.500000
Next to You,6zu7un1Pm50Prwl7zvZuiI,fourwalls,calm,0.777,0.379,0.146,0.966,0.129,-19.504,0.0511,120.147,0.0882,0 days 00:02:28
Sleepwalker,4EeLLzkXEADfwvi5TcAbRD,Smartface,calm,0.72,0.727,0.366,0.902,0.109,-7.864,0.158,173.918,0.545,0 days 00:02:32.668000
Home_,1xtGl9Bz444K4f7mvyYTKm,Toonorth,calm,0.945,0.557,0.298,0.521,0.0942,-16.143,0.175,122.236,0.349,0 days 00:02:17.143000
Tropical,5C4QVrg1xnTqqJAON5VbAi,Smuv,calm,0.862,0.784,0.152,0.958,0.0942,-15.078,0.0716,84.008,0.584,0 days 00:01:54.286000
Orbiter,4VjTchvffUm7NE0CaJ6aau,wuf,calm,0.745,0.547,0.371,0.936,0.151,-10.42,0.0586,131.066,0.801,0 days 00:02:04.735000
Walnuss,1XroJOAZoFNNddaCnWGYRG,Plusma,calm,0.419,0.528,0.378,0.866,0.0974,-11.257,0.722,159.45,0.425,0 days 00:01:28.691000
Going Nowhere,5qS7mRgwRm9Rj9s6hU8spF,Schmiddunsk,calm,0.633,0.753,0.537,0.619,0.172,-7.466,0.1,82.019,0.527,0 days 00:01:45.389000
so what so long,6jMlaEJKGdEn6bfeNmPkWL,beatsailor,calm,0.543,0.541,0.2,0.879,0.0922,-14.42,0.118,173.943,0.23,0 days 00:01:28.297000
Humanity,7jz38es7QDNXTZVA0hjlQh,Kiabits,calm,0.739,0.551,0.36,0.152,0.115,-12.349,0.0454,69.887,0.165,0 days 00:02:48.429000
Kingston Upon Hull,7cxvYPkUqvWDHO4WhHZCCi,Heather Grey,calm,0.261,0.6,0.219,0.109,0.134,-14.261,0.286,91.313,0.311,0 days 00:01:51.136000
Analogic,2nIEp6f8Hv4CY7XV7OzAWY,Inmune Beats,calm,0.762,0.693,0.501,0.891,0.111,-8.029,0.112,90.01,0.284,0 days 00:02:40.014000
Pyrite,7AP6EfiA3XH360wVXMICXr,"Sarah, the Illstrumentalist",calm,0.898,0.63,0.141,0.947,0.111,-14.312,0.0423,81.908,0.777,0 days 00:01:59.875000
Relaxation,5vFrE0hdL2W3d30z3a4XJz,Muzraeli,calm,0.849,0.658,0.375,0.912,0.173,-11.282,0.0885,171.72,0.259,0 days 00:02:41.860000
El Sol por la Ventana,6jo4enDzLZjNaod4zmgzXc,Dj 113,calm,0.383,0.663,0.712,0.216,0.16,-3.782,0.0593,79.993,0.566,0 days 00:02:36.023000
Jewelry Remover,2FllN4dJIdS4BvqJkTrLmZ,Justnormal,calm,0.921,0.722,0.466,0.179,0.0883,-9.503,0.192,82.013,0.0911,0 days 00:02:43.759000
mastery,6SPP3kILqolHVCLrIfFEmk,Burēku,calm,0.532,0.536,0.185,0.701,0.124,-12.858,0.444,152.146,0.679,0 days 00:02:32.387000
shadows,3fb2fG3tBK0Iqe9fzhLsxz,DRWN.,calm,0.419,0.57,0.146,0.018,0.246,-13.239,0.141,239.657,0.225,0 days 00:01:48
omph,5eCFoX44ZDRi5P9BAbcYEY,st1cky,calm,0.569,0.728,0.301,0.853,0.104,-14.017,0.305,84.839,0.792,0 days 00:01:46.500000
Signal,5lJ5yLyU2tpN7Y2fvEgN3a,Screen Jazzmaster,calm,0.61,0.586,0.377,0.87,0.101,-9.75,0.0436,159.917,0.161,0 days 00:02:36
it’s full of color,3v3vr9kta6O2srgSd02LJn,just let go,calm,0.667,0.689,0.391,0.896,0.0901,-13.315,0.0798,80.023,0.0764,0 days 00:01:36.023000
One Note,6lTIzGOH1lOs74J6ZSSgoQ,Nometronn,calm,0.242,0.711,0.646,0.852,0.109,-5.251,0.215,85.99,0.516,0 days 00:01:40.472000
Chinatown Boulevard,06Wbx7mIE55n6Nq5ybvyvu,Imlaylow,calm,0.66,0.651,0.226,0.887,0.164,-15.483,0.0443,79.989,0.282,0 days 00:01:48
Loto,2i52hcNgy0k0pPNyEWw7ub,Made in M,calm,0.499,0.705,0.205,0.885,0.148,-13.291,0.0527,85.014,0.461,0 days 00:01:33.625000
TWILIGHT FLASH,3LVWXsVwEiLwJCsAwACobL,Huez,calm,0.93,0.765,0.168,0.951,0.128,-12.588,0.181,78.995,0.152,0 days 00:01:37.973000
Stay,30EvTWj2OvF8afq0zM5ztj,Fatb,calm,0.8,0.685,0.172,0.928,0.137,-13.917,0.0651,78.979,0.237,0 days 00:01:20.969000
Hooo,6V6xCSttspjObKOBnGjCFo,Ozoyo,calm,0.693,0.34,0.767,0.0688,0.222,-6.598,0.0417,164.814,0.064,0 days 00:02:02.182000
too close,1NNNWwZA5NHOGn529q8TRE,jacuzzi jefferson,calm,0.716,0.62,0.432,0.351,0.196,-8.984,0.154,91.115,0.668,0 days 00:02:17.343000
Kidzzz,5xx6JPJJpfFetSfigvQcTM,BryanMr,calm,0.753,0.647,0.224,0.883,0.111,-18.37,0.0732,79.968,0.495,0 days 00:01:36.008000
Wonka Bar,52rHM2pE7NAcy0BSHeVvCi,Remulak,calm,0.0952,0.678,0.457,0.958,0.0742,-8.097,0.032,92.015,0.55,0 days 00:02:00
busking,6hBofveV7cUFOSuUB9RQjk,_tag,calm,0.495,0.622,0.0701,0.911,0.102,-13.016,0.0421,77.065,0.247,0 days 00:02:20.714000
Playing Coy,6kvcGtcRk87tvBwQew6pkl,Arthur Wu,calm,0.885,0.679,0.404,0.628,0.26,-19.996,0.125,169.942,0.482,0 days 00:01:31.765000
Wine,093d2dr7hvzaxyaRIUAGNq,David Cutter Music,calm,0.0644,0.812,0.311,0.792,0.0998,-14.033,0.164,140.158,0.829,0 days 00:02:35.900000
tormenta,5nSyXje2UZibtvl82L21wh,Kaizen 92,calm,0.711,0.896,0.201,0.212,0.183,-11.137,0.343,82.017,0.938,0 days 00:01:54.887000
Cordite In The Air,4mEyUJn4hgJCz75UWv3YTz,mädmäx,calm,0.283,0.682,0.147,0.0192,0.133,-15.461,0.311,85.038,0.296,0 days 00:02:10.765000
see that,2r0CozI7P8SvynG5tNBDj9,Lunchmoney,calm,0.919,0.474,0.436,0.744,0.269,-9.585,0.181,74.318,0.415,0 days 00:01:43.429000
Ensnared,1p5jbuZMzTZUXOlmI8VRIl,Melodiesinfonie,calm,0.813,0.547,0.376,0.868,0.155,-9.531,0.0412,140.674,0.466,0 days 00:03:31.150000
Lightly,3E9rVHTbxUODz2FS0YWqMx,niquo,calm,0.636,0.779,0.34,0.135,0.26,-11.594,0.0721,82.003,0.228,0 days 00:02:49.090000
basilicum,2qdLk68wCRYY6XJnHmxIMV,sound butler,calm,0.763,0.646,0.559,0.789,0.673,-7.784,0.108,180.058,0.272,0 days 00:02:12.667000
Attaboy,2VKhOfA0qsjC4XlBKm34N3,Víctor Rodríguez,calm,0.82,0.743,0.31,0.0307,0.312,-15.428,0.121,81.98,0.43,0 days 00:02:03.994000
Euka,1yua2x4fehFtFJ2qUzt0NP,Dorothe Mosh,calm,0.316,0.335,0.277,0.879,0.125,-16.849,0.0315,95.829,0.406,0 days 00:02:01.054000
Evening Mood,4WkXJCrqvVrYFPCX3vsoDI,Bhasper,calm,0.395,0.869,0.55,0.902,0.0906,-13.357,0.0685,82.064,0.333,0 days 00:02:51.223000
Dark Wood,4NQvsvvX5UFFXZpXj9hkvA,Justnormal,calm,0.822,0.724,0.24,0.415,0.115,-13.317,0.275,173.945,0.461,0 days 00:02:09.345000
Palma,7pxbteHpF1ZCPAjrRDxJoS,LESKY,calm,0.0447,0.679,0.464,0.86,0.128,-8.174,0.0792,85.996,0.394,0 days 00:02:08.627000
Alley Smokey,3WVzRpcscqGB3t8JRett5M,citi,calm,0.0184,0.887,0.161,0.845,0.0765,-12.325,0.442,159.977,0.0833,0 days 00:02:41.719000
SaDa,7bJ4RdquDO1A29rJ34tiMz,furino,calm,0.936,0.625,0.456,0.0226,0.105,-8.622,0.118,143.552,0.0694,0 days 00:02:04.184000
lost places,3y1tJmsZ0cXKwh9NoeNblm,dust and moonlight,calm,0.965,0.706,0.269,0.868,0.14,-15.653,0.0459,133.992,0.22,0 days 00:02:08.955000
Snake Plant,4c62KxdplU5lFoc90cieVl,Jobii,calm,0.0291,0.556,0.488,0.446,0.116,-7.22,0.243,172.789,0.391,0 days 00:02:11.229000
Breeze,4GYUFc9nA3CqfotomfA95m,Matt Hylom,calm,0.372,0.592,0.44,0.915,0.122,-11.063,0.107,148.031,0.454,0 days 00:01:51.969000
Dry,1NNiv7YIRhbdE3rRJa6KZ3,Made in M,calm,0.412,0.871,0.356,0.957,0.112,-13.809,0.25,149.921,0.917,0 days 00:01:17.602000
Caruyú,6vEUlFK0x0SxQbeic5jqXj,Alma De La Selva,calm,0.279,0.622,0.717,0.819,0.107,-8.263,0.103,89.028,0.313,0 days 00:02:32.576000
So What's Next,2K7WZXs3r1xkhTuopHTBkf,zan.,calm,0.935,0.889,0.0525,0.943,0.117,-16.829,0.204,160.015,0.788,0 days 00:01:48
People,447WvD4dvQcLhKX71OTiJ2,Brenky,calm,0.913,0.709,0.202,0.0733,0.114,-15.316,0.142,74.172,0.309,0 days 00:01:44.027000
What About You,7GZUUkLsU3OLhiMUOIcF60,Donovan's Playground,calm,0.554,0.628,0.327,0.917,0.129,-14.961,0.0488,79.986,0.374,0 days 00:02:01.500000
Don't Delay,6DviK9flZnEaqVpEOURPfu,Monetary Justice,calm,0.669,0.722,0.52,0.903,0.099,-8.337,0.162,79.994,0.534,0 days 00:02:24.273000
Late Shift,4dGTCi5MPoC0Wp7vtMpQTX,PawnShop Guy,calm,0.302,0.794,0.2,0.866,0.112,-22.699,0.0881,139.954,0.0396,0 days 00:01:50.571000
Buena Onda,2YEKBRf3fBAJ6QcylJak5M,Stereo Fear,calm,0.228,0.929,0.343,0.861,0.0602,-12.435,0.0512,120.013,0.755,0 days 00:02:20
Dirty Cutlass,3OuXO3ge84CRriztlXAUlj,Ras G,calm,0.532,0.546,0.288,0.805,0.182,-18.567,0.0318,158.246,0.354,0 days 00:02:56.500000
sunflowers,2lsu6It5U15RZzhFylH5yb,chilltrap,calm,0.745,0.665,0.236,0.209,0.0885,-12.876,0.171,179.961,0.0948,0 days 00:01:25.354000
Way Home,30nV0LJfrglHrZtSplHtYC,Ariel T,calm,0.737,0.734,0.332,0.902,0.0899,-16.253,0.102,80.0,0.26,0 days 00:03:58.350000
ORANGE,2kRIzQCgP2apb7ERUHBcZ2,SINY,calm,0.715,0.707,0.421,0.899,0.209,-7.876,0.0449,85.955,0.36,0 days 00:02:40.457000
Prietita,0hwW2JTveoKNdMnzLPFufA,Chill Blunt,calm,0.712,0.724,0.575,0.911,0.116,-9.902,0.0491,90.04,0.313,0 days 00:01:02.400000
Driftwood,18NBwccM1sFW7t1lixlBHN,Leavv,calm,0.828,0.519,0.13,0.922,0.12,-13.054,0.0678,88.984,0.405,0 days 00:02:43.571000
Between Trees,2JGMsvTmthAG3dvEzv7Vw8,BƱBBLE,calm,0.0894,0.823,0.613,0.881,0.0956,-11.892,0.159,160.067,0.558,0 days 00:01:38
Walking Away,6D92s9XsxCMSx7cnRRyIm6,Samarinen,calm,0.961,0.683,0.0406,0.962,0.0991,-13.429,0.0944,85.0,0.652,0 days 00:01:58.588000
Low Fly,1QeEuSgJieIbIcYpeND3IU,TheeAgris,calm,0.401,0.773,0.237,0.783,0.0808,-14.617,0.258,142.957,0.149,0 days 00:02:05.555000
Jericho Sun,4pDDvReURWfRQMrM0vSZXi,Neil Fonda,calm,0.442,0.718,0.401,0.927,0.11,-5.33,0.0599,140.071,0.221,0 days 00:01:56.571000
All About,3zQ7sXNcnuB5XU9BeqxGIj,Green Balloon,calm,0.32,0.615,0.371,0.593,0.0626,-15.032,0.0356,127.979,0.217,0 days 00:01:45
Driftin',01giRrGkgCCMMmtaFyf110,Mensing,calm,0.508,0.778,0.406,0.864,0.0898,-11.962,0.329,150.059,0.225,0 days 00:01:31.200000
ninfa,7iMFgDYIWxYEwCNIs4bLkN,evän,calm,0.94,0.617,0.493,0.854,0.116,-6.569,0.043,75.691,0.369,0 days 00:01:15.998000
Springdays,1nXgAA5bDL2i68D0TrwAf9,Phlocalyst,calm,0.158,0.694,0.617,0.876,0.22,-7.834,0.0324,97.991,0.4,0 days 00:02:02.593000
Red Piano,11hpBud9KRFqyYAcgYT03Z,halfpastseven,calm,0.00651,0.61,0.663,0.692,0.695,-10.334,0.0672,94.938,0.537,0 days 00:01:32.500000
Fetch,4tA9KtIJ5R7ondn3ViHpfC,Cardamom,calm,0.919,0.385,0.482,0.921,0.101,-12.489,0.311,204.078,0.272,0 days 00:01:55.098000
Windows,2uoeJVAbt8T7ll0DwuWJUP,Siirbaz,calm,0.138,0.804,0.457,0.824,0.0858,-11.84,0.0627,164.109,0.937,0 days 00:01:10.259000
Self & Other,66ptSITrmXS1wjLgzht7tx,Iguilty,calm,0.133,0.548,0.492,0.749,0.0866,-10.827,0.0302,82.118,0.172,0 days 00:02:10.244000
Sidewall,4l7jeahYuBbxTlc9L6G7nY,Praizee,calm,0.4,0.851,0.171,0.749,0.111,-9.565,0.162,80.064,0.512,0 days 00:02:12
Timing,4hcWT6BGdFQP4sBl9V1Hom,BluntOne,calm,0.691,0.636,0.241,0.793,0.216,-9.551,0.0564,75.959,0.256,0 days 00:02:03.452000
Sound Latino,3nEA7Q1FLJTfCrBjIlwory,Dj 113,calm,0.479,0.855,0.365,0.755,0.102,-9.35,0.155,85.028,0.575,0 days 00:02:04.257000
Dearest Alfred (MyJoy),6vzaMfWEWYJtfnoKlCY5xP,Khruangbin,calm,0.802,0.412,0.273,0.9,0.109,-19.519,0.374,82.581,0.661,0 days 00:03:15.604000
All the Feels,6KKu7Lfc3BFeL7Jsu7NGAI,"Sarah, the Illstrumentalist",calm,0.0684,0.804,0.722,0.469,0.246,-6.594,0.0433,89.965,0.598,0 days 00:02:13.250000
Uno Es Mínimo Dos,0c5kOuAnDXGtWkEkaHXRrW,Jiony,calm,0.953,0.553,0.209,0.954,0.104,-17.105,0.0364,131.776,0.115,0 days 00:02:40.576000
Sky High,5MZhfQfSV9eFyjvA5iMHw6,Otis Neon,calm,0.198,0.551,0.526,0.000402,0.122,-9.558,0.04,84.947,0.365,0 days 00:02:13
